PlotID,plot_left,dist_river,SubplotID,SoilpH,OMLOI,ppmC,WEONppm,WEOCppm,OCON,Soil_Health
C1,C,1,D4,7.1,1,57.2,10.4,122,11.8,7.13
C1,C,1,D2,6.9,1,52.3,12.2,150,12.3,6.98
C1,C,1,C2,6.6,1.1,34.7,11,118,10.7,5.51
C1,C,1,D1,6.8,1.1,52.3,12.4,138,11.1,7.33
C1,C,1,C1,6.6,1.2,57.2,12,119,9.9,8.14
C1,C,1,D3,7.1,1.2,50,12.1,139,11.5,6.94
C2,C,2,D1A,6.6,1.4,54.5,12.1,167,13.8,6.83
C2,C,2,D1B,6.6,1.4,62.7,13,155,11.9,8.11
C2,C,2,D3,6.9,1.6,65.7,14,159,11.4,8.76
A1,A,1,C2,6.9,1.6,74.6,12.4,141,11.4,9.18
C2,C,2,D4,6.6,1.7,59.7,14,167,11.9,8.07
B2,B,2,D1,6.6,1.7,68.7,13.8,148,10.7,9.25
B2,B,2,D2,6.8,1.7,65.7,13,144,11.1,8.66
B2,B,2,D3,6.5,1.7,59.7,13.3,141,10.7,8.35
B2,B,2,C2,6.7,1.7,74.6,13.7,154,11.3,9.52
A3,A,3,D4,7.4,1.7,78.4,13.4,154,11.6,9.66
A3,A,3,C2,7.1,1.7,118.5,15.1,220,14.6,11.8
C2,C,2,C2,6.4,1.8,74.6,14.1,179,12.8,9.04
C2,C,2,D2,6.7,1.8,47.8,14.1,169,11.9,7.11
A1,A,1,C1,6.9,1.8,47.8,12.6,139,11,6.99
C2,C,2,C1,6.4,1.9,86.3,15.8,180,11.4,10.97
B2,B,2,C1,6.7,1.9,62.7,13.3,154,11.6,8.3
B4,B,4,C2,7.5,1.9,57.2,17,172,10.1,9.07
A1,A,1,D2,6.9,1.9,30.3,15.3,166,10.8,6
A1,A,1,D4,7,1.9,52.3,12.5,138,11,7.37
A1,A,1,D1,6.8,2,65.7,13.4,150,11.2,8.72
A3,A,3,D1,7.2,2,54.5,12.2,139,11.4,7.39
A3,A,3,D3,7,2,94.1,14.8,155,10.5,11.99
C4,C,4,C2,7.8,2.1,36.4,13.7,160,11.7,6.09
A1,A,1,D3,6.9,2.1,59.7,13.7,149,10.9,8.33
A4,A,4,D2,8,2.1,47.8,15,181,12,7.27
C4,C,4,D4,8.2,2.3,57.2,13.2,164,12.4,7.58
C4,C,4,C1,8.1,2.3,36.4,13.8,158,11.5,6.12
B2,B,2,D4,6.6,2.3,57.2,15.6,165,10.6,8.61
A3,A,3,C1,7.1,2.3,82.3,16.8,176,10.5,11.28
A4,A,4,C2,8,2.3,52.3,14.6,183,12.5,7.47
B4,B,4,D4,7.8,2.3,78.4,15.4,187,12.2,9.85
C4,C,4,D1,8,2.4,41.5,14.4,163,11.4,6.72
C4,C,4,D2,8.1,2.4,38.1,13.1,165,12.6,5.99
B4,B,4,D3,7.8,2.4,65.7,13.5,166,12.3,8.37
B4,B,4,C1,7.6,2.4,52.3,15.7,175,11.1,8.02
A4,A,4,C1,8,2.4,74.6,12.9,167,12.9,8.75
B4,B,4,D1,7.6,2.5,71.6,15.2,173,11.4,9.53
A4,A,4,D1,7.9,2.5,50,14,162,11.6,7.35
A4,A,4,D3,8,2.5,45.5,12.5,149,11.9,6.56
B4,B,4,D2,7.7,2.7,78.4,15.3,167,10.9,10.38
C4,C,4,D3,8,2.9,62.7,14.2,177,12.4,8.24
A4,A,4,D4,8,2.9,47.8,14,163,11.7,7.12
A3,A,3,D2,7.4,3.3,118.5,15.1,169,11.2,13.8
