block,level,trt,diversity,taxa,cla_avg,UTM_east, UTM_north
c,2,r,2,ange,328,,
c,2,r,2,solidago,229,,
c,2,r,2,ange,328,,
c,2,n,2,ange,375,,
c,2,n,2,solidago,191,,
c,2,b,2,ange,307,,
c,2,b,2,solidago,313,,
c,2,c,2,ange,340,,
c,2,c,2,solidago,227,,
c,2,c,2,ange,357,,
a,3,b,2,ange,382,,
a,3,b,2,solidago,193,,
a,3,r,2,ange,372,,
a,3,r,2,solidago,271,,
a,3,n,2,ange,361,,
a,3,n,2,solidago,229,,
a,3,bn,2,ange,380,,
a,3,bn,2,solidago,227,,
a,3,c,2,ange,370,,
a,3,c,2,ange,375,,
a,3,c,2,solidago,316,,
a,1,n,2,ange,457,,
a,1,bn,2,ange,419,,
a,1,bn,2,solidago,266,,
a,1,b,2,ange,376,,
a,1,r,2,ange,359,,
a,1,r,2,solidago,250,,
a,1,c,2,ange,371,,
a,1,c,2,ange,359,,
a,1,c,2,solidago,238,,
b,4,r,2,ange,250,,
b,4,r,2,solidago,191,,
b,4,b,2,ange,376,,
b,4,b,2,solidago,183,,
b,4,bn,2,ange,338,,
b,4,n,2,ange,347,,
b,4,n,2,solidago,235,,
b,4,c,2,ange,375,,
b,4,c,2,solidago,260,,
b,4,c,2,ange,334,,
a,4,n,1,ange,385,,
a,4,n,1,solidago,217,,
a,4,r,1,ange,389,,
a,4,r,1,solidago,224,,
a,4,bn,1,ange,376,,
a,4,bn,1,solidago,224,,
a,4,b,1,ange,357,,
a,4,b,1,solidago,249,,
a,4,c,1,ange,389,,
a,4,c,1,solidago,255,,
a,4,c,1,ange,351,,
a,4,c,1,solidago,281,,
b,2,b,1,ange,351,,
b,2,b,1,solidago,281,,
b,2,bn,1,ange,351,,
b,2,bn,1,solidago,236,,
b,2,n,1,ange,403,,
b,2,n,1,solidago,235,,
b,2,r,1,ange,410,,
b,2,r,1,solidago,324,,
b,2,c,1,ange,404,,
b,2,c,1,solidago,283,,
b,2,c,1,ange,465,,
b,2,c,1,solidago,154,,
c,4,r,1,ange,339,,
c,4,r,1,solidago,188,,
c,4,n,1,ange,387,,
c,4,n,1,solidago,263,,
c,4,b,1,ange,404,,
c,4,b,1,solidago,266,,
c,4,bn,1,ange,339,,
c,4,bn,1,solidago,223,,
c,4,c,1,ange,339,,
c,4,c,1,solidago,268,,
c,4,c,1,ange,378,,
c,4,c,1,solidago,286,,
c,1,b,1,ange,391,534636.6,4510510
c,1,b,1,solidago,259,534636.6,4510510
c,1,n,1,ange,430,534637.8,4510510
c,1,n,1,solidago,258,534637.8,4510510
c,1,bn,1,ange,342,534638.1,4510508
c,1,bn,1,solidago,283,534638.1,4510508
c,1,r,1,ange,380,534636.9,4510507
c,1,r,1,solidago,249,534636.9,4510507
c,1,c,1,ange,424,534640.3,4510509
c,1,c,1,solidago,258,534640.3,4510509
c,1,c,1,ange,377,534642.3,4510510
c,1,c,1,solidago,258,534642.3,4510510
