site,rep,solvita.ppmC.,emn,biomass_C,Omloi,kclN
2016 c 1 1 1,c 1,26.4,13.2,528,10,12.27
2016 c 1 1 2,c 1,25.2,12.6,504,4,6.98
2016 c 1 1 3,c 1,21.1,10.6,422,4,7.04
2016 c 2 3 1,c 2,29,14.5,580,11,2.82
2016 c 2 3 2,c 2,30.3,15.1,606,9,7.03
2016 c 2 3 3,c 2,36.4,18.2,728,8,4.04
2016 c 3 2 1,c 3,33.1,16.5,662,11,0.28
2016 c 3 2 2,c 3,45.5,22.8,910,8,10.97
2016 c 3 2 3,c 3,30.3,15.1,606,10,11.27
2016 c 4 1 1,c 4,25.2,12.6,504,17,5.3
2016 c 4 1 2,c 4,19.2,9.6,384,12,7.27
2016 c 4 1 3,c 4,2.42,12.1,484,11,11.57
2016 b 1 2 1,b 1,36.4,18.2,728,7,8.72
2016 b 1 2 2,b 1,39.8,19.9,796,9,10.57
2016 b 1 2 3,b 1,26.4,13.2,528,5,11.27
2016 b 2 1 1,b 2,24.2,12.1,484,7,7.83
2016 b 2 1 2,b 2,33.1,16.5,662,12,8.6
2016 b 2 1 3,b 2,27.7,13.9,554,9,11.47
2016 b 3 2 1,b 3,33.1,16.5,662,11,9.01
2016 b 3 2 2,b 3,30.3,15.1,606,9,11.47
2016 b 3 2 3,b 3,47.8,23.9,956,9,11.57
2016 b 4 3 1,b 4,17.5,8.8,350,8,8.86
2016 b 4 3 2,b 4,74.6,37.3,1492,11,9.87
2016 b 4 3 3,b 4,36.4,18.2,728,11,10.57
2016 a 1 3 1,a 1,41.5,20.8,830,9,9.77
2016 a 1 3 2,a 1,33.1,16.5,662,9,9.2
2016 a 1 3 3,a 1,39.8,19.9,796,12,7.73
2016 a 2 2 1,a 2,26.4,13.2,528,6,12.37
2016 a 2 2 2,a 2,27.7,13.9,554,6,11.37
2016 a 2 2 3,a 2,24.2,12.1,484,7,9.05
2016 a 3 3 1,a 3,31.6,15.8,632,11,13.7
2016 a 3 3 2,a 3,33.1,16.5,662,10,9.67
2016 a 3 3 3,a 3,27.7,13.9,554,9,8.93
2016 a 4 1 1,a 4,18.4,9.2,368,10,7.03
2016 a 4 1 2,a 4,14.6,7.3,292,12,13.67
2016 a 4 1 3,a 4,24.2,12.1,484,13,13.77
