Date,Biodiversity,SA,COV,Sasd,COVsd
26-Jun,HD,0.025344895,0.126327428,0.004166922,0.051804493
26-Jun,LD,0.027086151,0.128376946,0.005081021,0.044577444
26-Jun,Mono,0.025798655,0.110014374,0.003980394,0.020757052
,,,,,
,,,,,
,,,,,
,,,,,
Date,Biodiversity,SA,COV,Sasd,COVsd
17-Jul,HD,0.027876174,0.133398174,0.009643135,0.025323445
17-Jul,LD,0.023334692,0.105062911,0.00728129,0.018896326
17-Jul,Mono,0.023662392,0.095527792,0.016192422,0.036823408
,,,,,
,,,,,
,,,,,
,,,,,
Date,Biodiversity,SA,COV,Sasd,COVsd
20-Aug,HD,0.029065863,0.162434358,0.001457392,0.01110654
20-Aug,LD,0.022258598,0.148682227,0.002231129,0.009343036
20-Aug,Mono,0.017607939,0.102730357,0.003049752,0.016968465
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Date,Biodiversity,SA,COV,Sasd,COVsd
28-Sep,HD,0.034630602,0.163501563,0.007525733,0.054578816
28-Sep,LD,0.032864078,0.177621473,0.003745698,0.059947837
28-Sep,Mono,0.028953898,0.134252079,0.002671226,0.045568711
